from_id,type,to_id,note
optimize,leads_to,plan,"Most applications get reinvested in or replaced here."
optimize,leads_to,retire,"The rest move forward into decommissioning."
retire,leads_to,plan,"Freed licenses and budget start the next request."
r-acquire-contract-terms,may_impact,q-retire-contract-end,"Weak exit terms make an orderly contract end harder later."
r-deploy-inventory,blocks,q-operate-access-review,"The review needs the inventory record deploy creates first."
q-retire-data,refers_to,q-plan-data,"The data's fate depends on the sensitivity recorded at intake."
r-acquire-ai-supplier,refers_to,q-plan-ai-tier,"The assessment depth follows the risk tier set at intake."
q-optimize-cost,may_impact,q-plan-duplicate,"A low-value app kept alive discourages reuse checks at intake."
r-deploy-ai-register,refers_to,q-acquire-ai-supplier,"The register carries forward the supplier assessment."
q-operate-ai-change,refers_to,r-deploy-ai-register,"Changed use should update the risk register entry."
r-plan-ai-tier,may_impact,q-deploy-ai-register,"The assigned risk tier shapes what the register must capture."
r-acquire-entitlements,refers_to,q-operate-entitlements,"Entitlements recorded at purchase are what operate checks against."
r-deploy-access-roles,may_impact,q-operate-access-review,"Roles defined at deploy set the baseline the review checks."
r-deploy-privileged,may_impact,q-operate-access-review,"Privileged accounts need extra scrutiny in the periodic review."
r-operate-access-review,refers_to,q-retire-accounts,"Leavers removed in review should already match retirement's account cleanup."
q-optimize-expiring,may_impact,q-retire-contract-end,"An expiring contract flagged here can trigger retirement."
q-optimize-process-weak,refers_to,r-operate-asset-records,"Weak reconciliation in operate shows up here first."
q-optimize-decision-log,refers_to,q-plan-intake,"The decision log covers requests that came through this intake path."
r-retire-inventory-closed,refers_to,r-deploy-inventory,"Closing the record retires the entry deploy first created."
q-acquire-cost-center,may_impact,q-optimize-cost,"The recorded cost center is what optimize reviews for value."
r-plan-duplicate,blocks,q-acquire-entitlements,"A flagged duplicate should stop a new purchase until resolved."
r-plan-data,refers_to,q-deploy-inventory,"The sensitivity recorded at plan carries into the inventory record."
q-retire-data,blocks,r-retire-inventory-closed,"The record can't close until the data's fate is decided."
r-acquire-threshold,refers_to,q-plan-intake,"The same threshold gate applies again before the purchase itself."
